Problem Name,Problem Type,variables,Optimal Function Value,Result,RunTime (seconds),Total Quantum RunTime (second),Qubits,Operations,Environment,Solver,Solution
QUBO017,QUBO,9,-1,[1. 0. 0. 0. 1. 1. 1. 1. 0.],,,,,Classical,CPLEX,correct
QUBO017,QUBO,9,-1,[1. 0. 0. 0. 1. 1. 1. 1. 0.],0.18,,,,Classical,NumpyMinimumEigenSolver,correct
QUBO017,QUBO,9,-1,[1. 0. 0. 0. 1. 1. 1. 1. 0.],,207,27,400 operations with depth 188,sydney,QAOA,correct
QUBO017,QUBO,9,-1,[1. 0. 0. 0. 1. 1. 1. 1. 0.],,2697,27,967 operations with depth 377,sydney,VQE,correct
QUBO014,QUBO,10,96,[0. 1. 0. 1. 0. 0. 1. 0. 1. 1.],,,,,Classical,CPLEX,correct
QUBO014,QUBO,10,96,[0. 1. 0. 1. 0. 0. 1. 0. 1. 1.],0.18,,,,Classical,NumpyMinimumEigenSolver,correct
QUBO014,QUBO,10,96,[0. 1. 0. 1. 0. 0. 1. 0. 1. 1.],86,649,27,551 operations with depth 209,sydney,QAOA,correct
QUBO014,QUBO,10,96,[0. 1. 0. 1. 0. 0. 1. 0. 1. 1.],,502,27,1066 operations with depth 306,sydney,VQE,correct
QUBO016,QUBO,11,80,[1. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0.],,,,,Classical,CPLEX,correct
QUBO016,QUBO,11,80,[1. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0.],0.15,,,,Classical,NumpyMinimumEigenSolver,correct
QUBO016,QUBO,11,1721,[0. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1.],,221,27,663 operations with depth 243,sydney,QAOA,incorrect
QUBO016,QUBO,11,1097,[0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 1.],,696,27,1471 operations with depth 326,sydney,VQE,incorrect
QUBO015,QUBO,12,28,[0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0.],,,,,Classical,CPLEX,correct
QUBO015,QUBO,12,28,[0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0.],0.16,,,,Classical,NumpyMinimumEigenSolver,correct
QUBO015,QUBO,12,38,[0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0.],,340,27,808 operations with depth 274,sydney,QAOA,incorrect
QUBO015,QUBO,12,16,[0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0.],,814,27,1581 operations with depth 345,sydney,VQE,correct
QUBO013,QUBO,15,129,[0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 1.],,,,,Classical,CPLEX,correct
QUBO013,QUBO,15,129,[0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 1.],0.53,,,,Classical,NumpyMinimumEigenSolver,correct
QUBO013,QUBO,15,9190,[0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1.],90,1410,27,1422 operations with depth 456,sydney,QAOA,incorrect
QUBO013,QUBO,15,92810,[0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1.],,6516,27,2599 operations with depth 705,sydney,VQE,incorrect
QUBO001,QUBO,20,206,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],,,,,Classical,CPLEX,correct
QUBO002,QUBO,20,46,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0.],,,,,Classical,CPLEX,correct
QUBO012,QUBO,20,124,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1.],,,,,Classical,CPLEX,correct
QUBO001,QUBO,20,206,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],35,,,,Classical,NumpyMinimumEigenSolver,correct
QUBO002,QUBO,20,46,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0.],60,,,,Classical,NumpyMinimumEigenSolver,correct
QUBO012,QUBO,20,124,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1.],69,,,,Classical,NumpyMinimumEigenSolver,correct
QUBO001,QUBO,20,4728,[1. 0. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1.],,7583,65,868 operations with depth 278,manhattan,QAOA,incorrect
QUBO002,QUBO,20,1101,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0.],193.3,15682,65,1827 operations with depth 506,manhattan,QAOA,incorrect
